Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Kota Sabang,61.70,73.88,73.80,64.68,5,6,4,4,–,-,-,44.87,–,–,–,3.00,78.03,78.70,79.50,80.04,11.19,11.20,11.22,11.23,95.60,95.64,96.07,96.38,99.90,99.24,99.27,96.74,94.02,87.55,89.61,80.18,89.52,93.96,95.90,,73.17,73.34,73.52,73.88,0.82,0.82,0.82,0.83,,,33,33,97.37,,,
,Kota Langsa,69.15,76.95,78.05,69.11,5,6,4,4,44.10,44.16,50.38,49.93,1610.27,1692.32,1579.12,1985.00,79.96,80.50,80.96,81.77,11.14,11.27,11.28,11.60,95.56,95.77,96.49,96.80,99.96,99.94,98.07,92.31,89.18,85.39,85.35,72.81,91.92,92.92,94.30,,73.84,73.98,74.11,74.41,0.83,0.83,0.83,0.84,,,48,55,95.82,,,
,Kota Lhokseumawe,69.34,80.67,83.03,68.46,5,6,4,4,54.63,52.33,43.17,51.76,1812.04,1758.58,1781.45,1550.00,79.38,80.26,80.89,81.75,11.12,11.27,11.31,11.64,95.06,95.73,96.59,96.82,99.84,99.73,98.79,93.72,96.69,89.43,86.46,81.57,90.27,90.36,93.71,,74.59,74.76,74.93,75.29,0.84,0.84,0.85,0.85,,,91,77,89.98,,,
,Kota Subulussalam,23.93,36.09,41.12,54.61,1,2,3,3,45.90,53.43,43.78,49.63,53.28,23.35,26.22,142.00,68.72,69.66,70.64,71.63,8.22,8.32,8.43,8.75,85.26,85.36,86.02,86.15,99.95,99.73,98.56,96.02,97.00,87.11,87.29,77.73,72.46,63.40,61.57,,69.55,69.68,69.80,70.01,0.76,0.76,0.77,0.77,,,21,26,93.97,,,
Sumatera Utara,Nias,69.99,71.38,72.41,63.79,5,5,4,4,45.75,44.99,45.32,44.46,8005.34,8481.7,9173.7,9041.00,64.30,65.15,66.13,66.79,5.88,6.14,6.40,6.41,91.28,91.10,91.28,91.50,93.84,99.67,,,60.19,86.80,,,28.17,23.86,28.10,,71.52,71.74,71.89,72.04,0.79,0.80,0.80,0.80,,,42,37,60.52,58.29,,
,Mandailing Natal,66.36,69.54,70.54,68.59,4,5,4,4,39.61,39.47,42.24,40.93,21293.57,19833.89,22625.8,54548.00,72.17,72.65,73.44,74.26,8.76,8.84,9.11,9.17,93.66,93.94,94.13,94.16,101.11,98.72,,,78.00,85.00,,,39.64,35.89,40.14,,71.35,71.72,71.88,72.06,0.79,0.80,0.80,0.80,,,126,125,34.31,48.75,,
,Tapanuli Selatan,72.68,73.40,77.29,68.89,5,5,4,4,49.94,48.64,49.19,48.72,20801.65,18748.74,19965.56,33008.00,73.96,74.58,75.18,75.78,9.34,9.51,9.56,9.60,91.18,90.79,90.91,91.39,99.62,99.02,,,73.48,89.83,,,52.90,51.54,56.26,,71.35,71.61,71.77,71.97,0.79,0.79,0.80,0.80,,,92,95,50.64,57.81,,
,Tapanuli Tengah,70.89,72.18,73.81,66.42,5,5,4,4,39.43,40.31,39.50,37.36,12219.78,12079.15,12136.83,17845.00,72.18,72.77,73.34,73.97,8.86,8.87,8.92,8.93,94.94,95.28,95.44,95.69,92.66,99.99,,,88.17,82.14,,,58.52,60.46,62.60,,71.47,71.76,71.96,72.20,0.79,0.80,0.80,0.80,,,129,125,63.65,66.21,,
,Tapanuli Utara,76.30,77.29,78.14,74.50,6,6,5,5,45.76,50.14,51.29,51.78,29920.67,25293.86,24187.41,27555.00,76.43,76.86,77.48,78.09,10.00,10.09,10.31,10.50,98.57,98.37,98.42,98.57,97.25,99.11,,,77.67,82.41,,,87.76,91.21,89.78,,73.85,74.10,74.36,74.70,0.83,0.83,0.84,0.84,,,99,106,47.91,58.89,,
,Toba Samosir,82.79,83.09,84.33,77.33,6,6,5,5,62.29,67.78,60.14,60.47,17043.74,16361.1,16080.93,18939.00,77.58,77.83,78.44,79.17,10.58,10.59,10.77,#N/A,98.96,98.97,99.03,99.24,101.56,99.59,,,89.44,81.74,,,89.37,93.26,95.84,,74.07,74.22,74.54,74.98,0.83,0.83,0.84,0.85,,,68,76,64.35,65.77,,
,Labuhan Batu,75.83,77.96,76.96,71.23,6,6,5,5,38.80,47.36,52.54,49.97,21455.81,13368.02,14934.95,23464.00,73.96,74.70,75.20,75.79,9.40,9.49,9.50,9.53,90.83,90.83,91.01,91.42,91.39,98.77,,,90.26,84.56,,,80.36,84.79,88.70,,72.55,72.88,73.13,73.45,0.81,0.81,0.82,0.82,,,124,136,46.62,54.34,,
,Asahan,71.65,73.99,76.65,70.66,5,5,5,5,64.62,62.09,59.56,59.37,10185.41,10212.46,11343.52,15677.00,73.18,73.59,74.17,75.13,8.82,8.83,8.85,9.06,92.00,92.19,92.45,92.64,99.84,94.98,,,73.01,78.84,,,89.33,92.13,94.74,,73.07,73.39,73.65,73.93,0.82,0.82,0.83,0.83,,,287,264,54.97,52.97,,
,Simalungun,80.84,81.41,82.42,70.26,6,6,5,5,54.08,52.16,57.42,59.04,27551.55,27573.66,34503.33,31755.00,74.68,75.17,75.88,76.48,9.63,9.72,9.73,9.74,93.52,93.60,94.01,94.15,84.12,95.02,,,77.94,77.26,,,91.25,92.96,94.97,,73.70,74.08,74.30,74.59,0.83,0.83,0.84,0.84,,,302,306,46.96,54.54,,
,Dairi,80.17,82.92,82.50,71.26,6,6,5,5,49.71,49.15,54.20,52.50,7868.10,6821.58,6294.01,8938.00,74.60,75.18,75.88,76.68,9.72,9.88,9.89,10.09,98.69,99.07,99.12,99.26,93.78,99.28,,,87.70,77.47,,,94.14,94.42,97.18,,73.94,74.13,74.38,74.71,0.83,0.83,0.84,0.84,,,175,159,61.86,60.38,,
,Karo,80.36,81.35,82.28,82.09,6,6,6,6,69.15,65.00,54.56,57.80,9834.46,8827.56,8035.59,12496.00,76.37,76.88,77.49,78.10,10.02,10.03,10.12,10.30,96.90,96.90,97.16,97.33,109.80,99.34,,,89.05,91.43,,,85.35,88.11,89.50,,74.14,74.16,74.39,74.71,0.83,0.83,0.84,0.84,,,265,263,62.86,65.19,,
,Deli Serdang,87.15,86.81,86.20,76.91,6,6,5,5,61.03,59.66,62.44,59.66,53984.69,52360.9,50213.59,50094.00,76.86,77.16,77.56,78.29,10.27,10.28,10.29,10.50,91.97,92.24,92.54,92.66,107.47,99.73,,,82.37,81.45,,,91.13,96.78,97.88,,73.44,73.65,73.81,74.02,0.82,0.83,0.83,0.83,,,419,419,50.38,53.18,,
,Langkat,75.36,76.89,79.92,71.06,5,6,5,5,49.46,49.06,48.58,49.43,23569.18,24435.48,24760.51,33115.00,74.03,74.33,74.85,75.58,8.68,8.73,8.74,8.95,89.53,89.34,89.74,90.48,85.20,96.06,,,73.66,77.59,,,86.50,90.65,89.95,,74.02,74.14,74.39,74.72,0.83,0.83,0.84,0.84,,,336,342,54.18,60.64,,
,Nias Selatan,65.80,65.67,65.87,61.68,4,4,4,4,35.09,35.45,35.33,35.95,12719.32,11951.51,12680.38,10450.00,64.05,64.98,65.87,66.74,6.23,6.48,6.52,6.61,89.21,89.72,89.89,90.05,77.90,94.24,,,65.79,75.22,,,12.23,15.63,15.33,,71.29,71.61,71.77,71.92,0.79,0.79,0.80,0.80,,,88,87,33.44,28.20,,
,Humbang Hasundutan,77.91,78.90,81.16,79.04,6,6,6,6,41.26,42.43,43.89,44.96,17992.27,16179.19,17237.91,18228.00,72.05,72.49,73.33,73.93,10.00,10.01,10.13,10.26,98.03,98.06,98.12,98.45,86.52,99.02,,,93.94,78.97,,,93.90,96.99,97.92,,73.82,74.07,74.27,74.55,0.83,0.83,0.83,0.84,,,51,53,64.31,70.87,,
,Pakpak Bharat,70.52,77.32,75.32,70.36,5,6,5,5,36.28,38.77,41.34,37.59,1516.33,1125.85,1675.43,2578.00,71.57,72.30,73.09,73.89,9.39,9.61,9.73,9.94,99.28,99.12,99.35,99.37,102.83,99.20,,,73.84,84.32,,,88.98,83.74,82.96,,72.16,72.61,72.95,73.35,0.80,0.81,0.81,0.82,,,36,38,86.03,85.76,,
,Samosir,75.06,78.89,80.35,76.32,5,6,5,5,56.04,58.47,59.97,60.59,7458.05,7385.8,7114.9,6401.00,72.57,72.93,73.77,74.63,9.46,9.47,9.61,9.81,97.16,97.28,97.58,97.77,107.68,98.95,,,90.18,87.29,,,89.48,93.18,95.68,,73.80,74.10,74.35,74.68,0.83,0.83,0.84,0.84,,,57,58,71.15,77.61,,
,Serdang Bedagai,82.13,83.76,85.35,72.35,6,6,5,5,58.60,60.72,65.17,64.59,50940.35,49742.27,51117.61,55196.00,72.89,73.40,74.15,74.69,8.71,8.85,9.12,9.13,89.29,89.01,89.35,89.98,109.11,98.81,,,67.45,75.08,,,91.98,93.29,94.74,,72.76,73.11,73.39,73.76,0.81,0.82,0.82,0.83,,,191,173,48.16,55.64,,
,Batu Bara,74.65,76.82,78.37,69.31,5,6,4,4,53.35,53.94,58.20,58.26,12827.29,13033.8,11735.98,16282.00,71.75,72.56,73.14,73.92,8.26,8.50,8.51,8.71,83.55,83.83,84.16,84.66,89.20,99.11,,,62.03,80.01,,,88.25,92.54,93.27,,72.29,72.63,72.97,73.40,0.80,0.81,0.81,0.82,,,159,155,51.83,54.58,,
,Padang Lawas Utara,71.74,70.40,75.14,68.99,5,5,4,4,42.42,39.48,39.57,43.34,6859.86,10594.64,11389.81,21912.00,72.77,73.45,74.16,75.12,9.46,9.55,9.82,10.05,88.09,88.29,88.51,88.75,100.65,99.85,,,87.34,92.24,,,71.03,72.22,75.80,,71.32,71.57,71.74,71.94,0.79,0.79,0.80,0.80,,,73,71,38.41,45.08,,
,Padang Lawas,70.97,70.90,76.75,68.90,5,5,4,4,37.78,38.43,39.92,43.60,7377.46,9970.29,11355.56,21692.00,71.41,72.16,73.10,73.90,9.31,9.43,9.63,9.64,86.31,86.60,87.01,87.53,107.07,99.55,,,79.80,85.77,,,65.52,68.32,73.63,,71.27,71.52,71.67,71.87,0.79,0.79,0.79,0.80,,,72,78,48.10,54.79,,
,Labuhan Batu Selatan,54.52,56.18,57.85,66.98,3,3,4,4,39.56,33.98,41.29,44.27,102.00,130.45,102.1,877.00,73.59,74.23,75.11,75.74,8.92,8.93,9.19,9.29,87.96,88.41,88.98,89.43,103.18,99.58,,,100.14,88.61,,,85.13,87.49,80.93,,72.14,72.46,72.71,73.01,0.80,0.81,0.81,0.82,,,88,89,46.09,52.13,,
,Labuhan Batu Utara,71.34,81.22,80.30,76.73,5,6,5,5,40.28,40.80,45.36,47.14,19868.19,19088.26,18753.42,23063.00,74.61,75.45,76.20,76.71,8.64,8.87,9.14,9.15,90.57,90.98,91.21,91.55,97.25,99.02,,,84.40,83.84,,,81.82,84.75,87.15,,73.81,74.06,74.23,74.45,0.83,0.83,0.83,0.84,,,124,123,47.75,60.14,,
,Nias Utara,67.12,73.67,73.17,61.04,4,5,3,3,44.62,41.08,35.53,36.28,9613.53,8895.77,9163,5630.00,64.55,65.44,66.42,67.38,6.78,6.85,7.05,7.25,80.12,80.56,80.99,81.54,84.79,95.40,,,91.28,83.08,,,41.19,37.90,47.50,,71.81,72.12,72.30,72.48,0.80,0.80,0.80,0.81,,,56,55,69.63,70.71,,
,Nias Barat,60.60,61.20,65.35,54.61,4,4,3,3,41.89,49.10,44.59,38.96,2514.38,2982.82,2582.99,3916.00,63.96,64.68,65.66,66.65,6.97,7.07,7.26,7.43,87.04,87.39,87.65,87.86,90.67,94.76,,,93.69,82.83,,,39.95,36.52,44.59,,71.91,72.30,72.55,72.82,0.80,0.80,0.81,0.81,,,47,42,83.36,87.82,,
,Kota Sibolga,62.01,79.85,81.03,66.58,5,6,4,4,-,-,-,-,–,–,–,–,76.69,77.07,77.52,78.11,10.43,10.44,10.45,10.46,98.33,98.61,98.64,98.80,87.80,98.56,,,100.98,78.22,,,42.05,35.05,36.90,,73.75,74.02,74.19,74.38,0.83,0.83,0.83,0.84,,,37,37,87.47,94.26,,
,Kota Tanjung Balai,53.17,70.83,74.59,66.77,4,6,4,4,45.89,44.30,48.48,47.13,76.00,52.57,44.78,108.00,74.73,75.42,75.95,76.70,9.55,9.68,9.69,9.90,90.92,91.23,91.67,92.11,95.80,99.71,,,89.20,89.65,,,93.51,94.37,96.82,,73.70,74.01,74.18,74.40,0.83,0.83,0.83,0.84,,,46,47,67.81,73.84,,
,Kota Pematang Siantar,78.42,87.19,89.82,72.26,6,6,5,5,62.35,61.30,58.23,60.53,1842.97,1462.29,1599.09,1762.00,79.71,80.46,81.17,81.71,11.31,11.58,11.82,11.83,96.02,95.96,96.22,96.48,99.95,99.07,,,72.13,83.74,,,92.33,91.22,91.99,,74.27,74.75,75.03,75.42,0.83,0.84,0.85,0.85,,,82,88,72.55,76.92,,
,Kota Tebing Tinggi,66.47,75.82,77.31,76.21,5,6,5,5,51.57,56.42,58.68,61.91,448.00,447.98,459.17,353.00,77.39,78.17,78.68,79.26,10.65,10.86,10.87,10.88,94.10,94.19,94.51,94.52,109.34,99.57,,,81.13,84.47,,,90.59,92.76,96.88,,73.78,74.07,74.29,74.58,0.83,0.83,0.84,0.84,,,64,70,72.42,83.99,,
,Kota Medan,80.93,87.80,90.25,69.85,6,6,5,5,58.11,58.61,60.29,59.10,1005.86,967.89,919.54,891.00,82.13,82.61,83.23,83.74,11.50,11.62,11.79,11.80,94.63,95.06,95.39,95.54,103.61,95.33,,,90.11,82.88,,,92.18,91.97,92.98,,74.32,74.76,75.09,75.54,0.84,0.84,0.85,0.85,,,390,406,66.37,73.80,,
,Kota Binjai,74.89,87.25,88.22,73.25,6,6,5,5,50.95,47.83,44.97,47.53,1244.91,1342.42,1093.72,1781.00,77.50,78.11,78.67,79.20,11.18,11.19,11.20,11.21,91.17,91.42,91.85,92.12,105.32,99.25,,,79.61,81.09,,,95.53,95.44,96.23,,73.92,74.18,74.45,74.81,0.83,0.83,0.84,0.84,,,84,89,64.62,69.30,,
,Kota Padangsidimpuan,57.96,69.90,71.32,75.28,4,5,5,5,56.32,57.94,53.16,57.13,3245.98,3678,3586.75,5119.00,77.73,78.10,78.61,79.19,11.11,11.12,11.13,11.22,98.03,97.89,97.92,98.17,98.83,99.23,,,74.83,85.20,,,45.65,44.79,48.42,,73.23,73.54,73.73,73.97,0.82,0.82,0.83,0.83,,,77,82,56.65,62.61,,
,Kota Gunungsitoli,43.70,65.13,66.12,63.69,3,5,4,4,48.14,52.31,44.86,49.94,2135.57,2679.59,2595.61,2294.00,71.11,71.55,72.30,73.29,8.64,8.65,8.76,8.95,90.08,90.39,90.80,91.04,101.95,99.01,,,100.81,78.51,,,50.29,55.37,55.54,,73.69,74.03,74.23,74.47,0.83,0.83,0.83,0.84,,,46,47,77.44,85.19,,
Sumatera Barat,Kepulauan Mentawai,52.48,50.91,53.86,67.36,3,2,4,4,22.98,24.73,26.51,28.37,603.61,477.23,177.28,373.00,64.83,65.79,66.67,67.62,7.59,7.83,8.02,8.21,90.01,89.73,90.29,91.00,96.99,96.94,98.05,98.59,61.14,67.69,73.86,66.94,69.09,72.28,75.64,79.06,70.91,71.06,71.21,71.40,0.78,0.79,0.79,0.79,,,49,48,61.06,53.53,,61.96
,Pesisir Selatan,83.53,85.95,86.71,79.20,6,6,6,6,56.17,51.88,48.78,51.88,28779.19,38927.98,34662.32,33728.00,71.72,72.24,72.87,73.72,8.51,8.60,8.77,9.06,95.95,95.77,96.11,96.11,99.55,99.42,99.41,95.02,79.95,80.73,82.64,76.05,73.68,76.82,78.93,84.50,73.20,73.27,73.44,73.68,0.82,0.82,0.82,0.83,,,140,153,56.22,58.15,,63.75
,Solok,78.29,81.78,82.56,72.70,6,6,5,5,54.50,52.64,47.28,53.42,32901.89,34691.26,35043.3,39456.00,71.39,71.92,72.29,73.26,7.90,7.92,7.93,8.25,96.36,96.25,96.30,96.41,98.71,98.79,98.63,98.85,79.13,79.85,81.65,81.66,57.28,59.75,62.56,57.11,72.12,72.31,72.52,72.82,0.80,0.80,0.81,0.81,,,95,97,43.14,49.43,,54.83
,Sijunjung,77.88,79.93,82.05,76.02,6,6,5,5,38.45,36.49,38.56,40.82,14031.40,17377.43,15173.75,14593.00,71.32,72.30,72.88,73.73,8.32,8.61,8.65,8.66,94.33,94.39,94.52,94.83,99.95,99.86,98.49,98.67,75.22,82.09,84.91,82.66,74.14,72.18,74.53,75.49,72.27,72.59,72.89,73.30,0.80,0.81,0.81,0.82,,,70,72,61.71,60.59,,70.31
,Tanah Datar,85.92,87.55,89.40,78.12,6,6,6,6,54.76,54.61,47.87,51.52,31023.69,33235.51,32568.98,27728.00,74.87,75.57,76.49,77.04,8.85,9.00,9.19,9.46,97.83,98.12,98.14,98.38,98.70,98.36,99.04,94.15,76.22,78.60,81.07,87.34,57.49,62.99,65.02,69.60,73.84,74.19,74.26,74.35,0.83,0.83,0.83,0.84,,,99,108,64.91,70.03,,85.44
,Padang Pariaman,81.14,83.13,85.08,69.14,6,6,4,4,49.58,49.14,44.52,47.62,27244.15,28566.99,30528.27,29984.00,73.67,74.54,74.90,75.71,8.21,8.41,8.51,8.78,93.47,93.77,94.43,94.73,99.26,99.15,99.50,96.89,77.62,78.22,82.13,86.80,59.76,61.77,63.73,65.76,73.67,73.77,73.88,74.04,0.83,0.83,0.83,0.83,,,103,105,50.86,57.19,,64.79
,Agam,85.34,86.40,86.92,71.60,6,6,5,5,49.54,48.73,48.39,47.82,27780.60,29653.35,29755.1,28951.00,73.84,74.44,75.08,76.04,9.00,9.21,9.24,9.57,97.27,97.37,97.49,97.78,98.46,98.79,98.54,97.34,79.70,81.50,85.29,85.20,74.84,77.04,77.00,79.29,74.07,74.22,74.39,74.63,0.83,0.83,0.84,0.84,,,155,161,65.20,64.35,,74.79
,Lima Puluh Kota,80.32,80.68,82.59,82.37,6,6,6,6,46.46,48.13,43.58,46.04,25526.84,28648.49,30598.33,24508.00,71.64,72.05,72.51,73.43,8.24,8.28,8.29,8.49,94.98,95.01,95.15,95.49,99.62,99.67,98.88,96.97,80.45,80.08,83.00,78.07,64.19,60.64,64.31,65.79,73.03,73.25,73.42,73.64,0.82,0.82,0.82,0.83,,,112,116,60.71,52.55,,69.07
,Pasaman,80.93,80.59,82.09,79.65,6,6,6,6,48.84,46.59,44.04,46.85,29509.35,31040.77,29505.06,28557.00,69.12,69.85,70.61,71.60,8.20,8.22,8.26,8.49,92.49,92.74,92.98,93.27,97.97,97.79,98.14,97.24,77.12,84.07,87.01,86.49,42.81,46.74,49.35,53.74,71.71,72.04,72.36,72.76,0.80,0.80,0.81,0.81,,,75,79,78.73,76.44,,97.65
